[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Run ParseTemplate Behavior [ RunTime:0.077632s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.077712s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Tag[ view_filter ] --START--
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Run ContentReplace Behavior [ RunTime:0.000485s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Run TokenBuild Behavior [ RunTime:0.000404s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000327s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000455s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001831s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Tag[ view_end ] --START--
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.001728s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/Blog/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.001847s ]
[ 2012-03-11T17:49:52+08:00 ] /index.php/blog/verify | INFO: Tag[ route_check ] --START--
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000899s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000972s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000659s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000712s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | SQL: SHOW COLUMNS FROM `p_category` [ RunTime:0.017877s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | SQL: SELECT * FROM `p_category`  [ RunTime:0.000373s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | SQL: SHOW COLUMNS FROM `p_blog` [ RunTime:0.076075s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | SQL: SHOW COLUMNS FROM `p_comment` [ RunTime:0.062640s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | SQL: SHOW COLUMNS FROM `p_comment` [ RunTime:0.003759s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | SQL: SELECT * FROM `p_blog` WHERE status=1 ORDER BY cTime desc LIMIT 10   [ RunTime:0.001022s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | SQL: SELECT * FROM `p_comment` WHERE status=1 ORDER BY id desc LIMIT 8   [ RunTime:0.000426s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | SQL: SHOW COLUMNS FROM `p_tag` [ RunTime:0.002082s ]
[ 2012-03-11T17:49:53+08:00 ] /index.php/blog/verify | SQL: SELECT `id`,`name`,`count` FROM `p_tag` WHERE module='Blog' ORDER BY count desc LIMIT 0,25   [ RunTime:0.000647s ]
[ 2012-03-11T17:50:42+08:00 ] /index.php/Photo/add | ERR: (ThinkException) 无法加载模块Photo
[ 2012-03-11T17:51:41+08:00 ] /index.php/Photo/add | ERR: (ThinkException) 模板不存在[./Tpl/default/Photo/add.html]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000438s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000513s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000973s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.001061s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.110351s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.110431s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.014588s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.006841s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004725s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.009838s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.036224s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.018932s ]
[ 2012-03-11T17:52:39+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.019024s ]
[ 2012-03-11T17:52:51+08:00 ] /index.php/Photo/add | ERR: (ThinkException) 模板不存在[./Tpl/default/Photo/add.html]
[ 2012-03-11T17:53:01+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2012-03-11T17:53:01+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000462s ]
[ 2012-03-11T17:53:01+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000542s ]
[ 2012-03-11T17:53:01+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2012-03-11T17:53:01+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000419s ]
